stem,C4_e1_med,C4_e1_n,C4_e2_med,C4_e2_n,C4_e5_med,C4_e5_n,C4_e10_med,C4_e10_n,C5_e1_med,C5_e1_n,C5_e2_med,C5_e2_n,C5_e5_med,C5_e5_n,C5_e10_med,C5_e10_n,C4_e20_med,C4_e20_n,C5_e20_med,C5_e20_n
ank_24_0,1.6337315654255946,79,1.4691018691785611,97,1.8289416488235972,83,1.8936131185890375,93,1.5055365351753065,92,1.3537944511769031,106,1.5733624772778212,119,1.2471338291078489,104,1.8836469959848103,109,1.2302294033508874,106
ank_24_12,2.720938789741028,45,2.6180405708415995,53,1.4740600575701157,63,2.3377475702329713,60,2.6571594479414102,74,2.2859315121151687,67,2.0151436256198756,60,2.200121991092363,70,2.785569047538082,49,2.426484844545371,70
ank_24_14,1.2204075537812042,76,0.9428148415602716,83,1.044646012276402,99,0.9248267931952612,82,0.7003588911888154,80,0.6186588359048624,92,0.5288195572125427,122,0.5209312616653614,115,1.3686518817685378,99,0.5484511087788317,130
ank_24_3,3.1355213693287585,61,2.929567770023122,53,3.15107599851991,62,3.0879370684387077,61,2.9785978628305987,49,2.344272447724428,55,2.895733011317369,57,2.955060649381571,50,3.30007511287093,43,3.0409424038789616,42
ank_25_1,1.5546033017845238,104,1.3847999909581492,95,1.2669734057991684,103,1.4407519978095773,116,0.9104058409214875,120,0.8661162149495126,120,0.7434084050962506,152,0.724910089526193,146,1.363483048411945,93,0.728374512381057,145
ank_25_14,2.2049501146732764,50,1.8555449708897345,40,3.1818199722003584,56,2.895175339327632,66,2.84706652936675,63,2.2903488141494153,62,1.713659561592698,92,1.64486726926473,89,2.895155384646234,55,1.647810219641549,91
ank_25_16,2.6251479998807166,64,2.2711499727061746,56,2.0328097789322097,61,2.4158909178552816,59,2.258707514925707,80,2.3610735395952753,81,1.6880374657532495,89,1.6188262661279809,81,2.071990238963932,61,1.727730450054862,94
ank_25_37,1.3016927301833174,57,1.5334338839330228,56,2.2801508679641294,56,1.5529684191545117,57,1.5458427630762874,70,1.2588637007396044,81,1.3440045404097298,96,1.3341738038830857,89,2.046362384511358,58,1.233499889905687,94
ank_26_21,2.8427749638523077,34,1.4943997567178615,53,2.695194335914427,50,3.985060422997655,35,1.1419404049046569,54,1.7941482169248917,64,1.864480669579393,58,2.1856498080914335,65,2.8953723863024603,36,1.851326377308994,62
ank_26_22,1.2006007475070886,49,1.1074581812601787,47,1.2536722328082446,46,1.8460347710490952,52,1.122133264838627,66,1.2021501974218312,57,0.8624163223619632,71,1.1512438002157748,87,1.5190531103142118,65,1.3000184164346955,87
ank_26_29,0.7048794771968182,157,0.7918898207476373,178,0.6505306788401464,225,0.7305722327837368,254,0.684037037515419,226,0.6517405438409225,240,0.6271538293881541,309,0.6463303765904975,360,0.7715100118154398,213,0.606199882098677,369
ank_26_3,1.3778618810876764,100,1.483405234051682,92,1.5965969885417328,77,1.261704141568318,98,1.257823722259369,120,0.7695230045043073,99,0.8822063542537177,121,0.9930943030349187,109,1.5444980216085953,116,0.8420281462787867,103
ank_26_35,3.49450754274116,34,3.625695403546426,35,3.3036856476555374,42,2.7836082086661595,46,3.3628753780306075,45,3.0097571502809237,59,2.0149763473251605,44,2.1779694927231152,44,2.793737529363279,43,2.5425047018453437,54
ank_26_5,1.8948353944577896,86,1.3552315630625538,94,1.0613755802763034,112,1.1147336879064402,125,1.0353140661507079,120,0.8852045980927415,125,0.7845747658530359,127,0.84773642452979,127,1.1698874367178145,95,0.8425264393503425,143
ank_27_14,3.5692837461647606,48,3.19901403198613,62,3.896557124694985,55,3.4887505130450203,48,2.85232510389664,60,2.530652238351294,56,3.5845671993294435,47,3.455247695609413,51,3.646902190750709,36,3.134738559330047,68
ank_27_40,2.656829365342901,54,2.2891746434723013,46,2.664882787399785,46,3.4023326441961603,32,2.1453930097877807,48,1.8305070481871875,51,2.355464514173476,52,2.3701763549993284,46,3.0415650315337737,46,2.6989977943888035,54
ank_28_27,1.6604990389243448,60,2.069844355827715,53,1.5877266354341708,53,1.4333456827114535,35,1.306806295313958,52,1.5760921547970372,70,1.1586106950862876,66,1.0989128710132143,68,1.34905180073086,46,1.2445523522154789,73
ank_28_37,1.1573513829617053,118,0.9996647978608029,109,0.6529904790369578,134,0.7129298478756737,138,0.7360072312018096,114,0.7162608081213784,115,0.6876119760461292,142,0.678681100196887,173,0.6906033800668303,159,0.6826302362513247,162
