stem,silent_frac,ref_edge,pretrained,C2
ank_41_0,0.9022391505078485,0.7440834079570168,1.0897733459411445,0.1797186165792716
ank_41_1,0.903951215758695,0.5896448256049031,1.3838241663057602,0.1354121553341995
ank_41_19,0.918936595875654,0.7364664015072221,1.2151729626787187,0.23674710781387684
ank_41_40,0.9832448445675592,0.7993856748772328,0.8033725739739103,0.05487163170904819
ank_4_23,0.9364035087719298,0.8832943013270882,0.9015512710189083,0.3156034141916878
ank_4_41,0.9349030470914127,0.6955349794238683,1.0808508120581013,0.3480460314173298
ank_5_12,0.6841143428747307,0.6515479571464725,1.0291743990332742,0.13400371153597168
ank_5_40,0.9738381040320099,0.6241901074589128,1.2702300705718534,0.1402259565176113
ank_5_5,0.7578870421668206,0.5691151835118534,0.38636160913388634,0.06234947819106234
ank_6_10,0.8359495229301324,0.5879510309278351,0.6070841487279843,0.04661448140900196
ank_6_38,1.0,0.6890581717451524,1.2292853154662198,0.3245393634840871
ank_7_36,0.966124192059095,0.7172809270652888,1.0864146124805685,0.1546191427936931
ank_7_8,0.8584756848261004,0.406390749994398,0.9183943537715042,0.10961623290692546
ank_8_19,0.9387503847337643,0.8137295081967213,1.049383026945354,0.1384789725509947
ank_8_22,0.8939481378885811,0.8461190850207656,0.9996439471007121,0.41912512716174977
ank_8_31,0.9998653431825177,0.7568732323912499,0.9474834773767158,1.1442552109811897
ank_8_41,0.997941674361342,0.8633883994833934,1.0811118553248493,0.826166555034606
ank_9_1,0.8282740843336411,0.5693150939452354,1.208216048627259,0.0757557214539224
ank_9_24,0.8833679593721145,0.9116090677467825,0.9650996130141895,0.33037121972194355
ank_9_25,0.9772622345337026,0.8795716704066769,0.9498254408736908,0.3040238116551786
