sitevar,arm,stem,stratum,n_mean32,med_mean32,n_single,med_single,delta
ank_overpass,pretrained,ank_23_28,5,72,1.5948904004996067,68,1.8974337895960471,-0.3025433890964404
ank_overpass,pretrained,ank_24_0,4,67,2.5078332879267493,88,2.7392213040302327,-0.23138801610348336
ank_overpass,pretrained,ank_24_12,3,37,2.666884152312779,52,2.728316404729733,-0.061432252416953936
ank_overpass,pretrained,ank_24_14,4,32,1.8930587337265847,30,3.080987751681082,-1.1879290179544975
ank_overpass,pretrained,ank_24_3,1,62,3.3489388231603776,61,2.58090755774413,0.7680312654162478
ank_overpass,pretrained,ank_25_1,5,66,2.661409561329635,61,2.4412955019623923,0.22011405936724282
ank_overpass,pretrained,ank_25_14,2,51,3.0278480749595498,45,3.3544857841690505,-0.32663770920950075
ank_overpass,pretrained,ank_25_16,2,46,3.602362498502089,61,3.4929275658705374,0.10943493263155135
ank_overpass,pretrained,ank_25_37,4,39,2.9103573329890535,31,3.609133736475365,-0.6987764034863115
ank_overpass,pretrained,ank_26_21,3,41,2.213936779244386,39,4.056458049801828,-1.8425212705574419
ank_overpass,pretrained,ank_26_22,4,29,3.1616094620218513,25,3.3681843300302794,-0.20657486800842806
ank_overpass,pretrained,ank_26_29,5,102,0.8544801323120914,118,0.9836413876606981,-0.12916125534860667
ank_overpass,pretrained,ank_26_3,4,108,1.9280208108623962,98,2.158658570961033,-0.2306377600986369
ank_overpass,pretrained,ank_26_35,2,29,3.9543617646396823,35,3.946603686802954,0.007758077836728106
ank_overpass,pretrained,ank_26_5,5,64,1.861607442911187,89,2.094223561535475,-0.23261611862428788
ank_overpass,pretrained,ank_27_14,1,55,3.133337638478257,59,3.427435324637085,-0.2940976861588278
ank_overpass,pretrained,ank_27_40,2,42,3.184851358888256,48,2.937677963362308,0.24717339552594808
ank_overpass,pretrained,ank_28_27,3,35,2.145786151143384,30,2.7548603591329686,-0.6090742079895848
ank_overpass,pretrained,ank_28_37,5,78,1.4309119691693666,79,1.2508465143964587,0.18006545477290792
ank_overpass,pretrained,ank_28_38,2,53,1.6184340996496736,56,1.7417625721293604,-0.12332847247968681
ank_overpass,pretrained,ank_28_9,2,44,3.775579146123773,44,3.183877067939096,0.5917020781846771
ank_overpass,pretrained,ank_29_0,5,71,2.072718657360176,51,2.2722131606506224,-0.19949450329044627
ank_overpass,pretrained,ank_29_11,1,34,4.278183143511617,59,3.9573282289384086,0.32085491457320847
ank_overpass,pretrained,ank_29_21,3,35,2.5571115183760367,34,2.5146027143633374,0.0425088040126993
ank_overpass,pretrained,ank_29_24,4,86,1.6741669785762259,78,1.8957157530185738,-0.22154877444234788
ank_overpass,pretrained,ank_29_26,3,48,2.6848951079788796,37,3.1275909951160594,-0.4426958871371798
ank_overpass,pretrained,ank_2_12,3,87,2.0294929754907316,96,1.9525773060348806,0.07691566945585104
ank_overpass,pretrained,ank_2_23,3,49,2.9448059868088357,30,2.5083602322552885,0.43644575455354717
ank_overpass,pretrained,ank_30_30,5,79,0.9033841888406606,81,1.017384308668534,-0.11400011982787328
ank_overpass,pretrained,ank_30_7,5,77,2.179178142240458,83,2.200477668577223,-0.02129952633676524
ank_overpass,pretrained,ank_31_32,5,104,1.324101246456346,94,1.3766318664768442,-0.05253062002049824
ank_overpass,pretrained,ank_31_7,5,109,1.4548311246243686,124,1.5282140171963285,-0.07338289257195996
ank_overpass,pretrained,ank_32_12,3,37,4.19472023213287,49,3.94435261238675,0.25036761974611954
ank_overpass,pretrained,ank_32_21,4,70,1.883260206933027,56,2.278629119768777,-0.39536891283575004
ank_overpass,pretrained,ank_32_37,5,111,1.238824528367787,106,1.2117355955519344,0.027088932815852562
ank_overpass,pretrained,ank_33_25,5,118,0.844404932942824,95,0.6628517447839597,0.18155318815886434
ank_overpass,pretrained,ank_33_3,5,108,1.3286586001389584,94,1.4263536042444787,-0.09769500410552023
ank_overpass,pretrained,ank_33_34,5,158,0.9905097238895371,161,1.0092296573166208,-0.01871993342708378
ank_overpass,pretrained,ank_33_36,5,96,0.9795705763538155,82,0.889275110908686,0.09029546544512945
ank_overpass,pretrained,ank_34_11,5,84,2.258412186502305,80,2.339784999526013,-0.08137281302370791
ank_overpass,pretrained,ank_34_15,5,54,2.513010630597698,55,2.68840101939931,-0.17539038880161195
ank_overpass,pretrained,ank_34_21,5,50,2.075024288814614,48,2.0019981207312325,0.07302616808338147
ank_overpass,pretrained,ank_34_30,5,125,0.9357335295794893,129,1.0680679480284196,-0.13233441844893035
ank_overpass,pretrained,ank_35_11,5,108,1.5130008421630814,106,1.4696012553976123,0.04339958676546907
ank_overpass,pretrained,ank_35_28,5,157,0.9692558328344277,160,0.9799123000217552,-0.01065646718732749
ank_overpass,pretrained,ank_35_39,3,62,2.2816598548588853,54,2.049985786922859,0.23167406793602652
ank_overpass,pretrained,ank_35_7,4,61,2.020206664049755,48,1.6081806189260295,0.41202604512372565
ank_overpass,pretrained,ank_36_40,1,53,3.5693700255931664,36,3.411283324431821,0.15808670116134538
ank_overpass,pretrained,ank_38_19,2,29,3.8400228860952548,27,3.432308578100129,0.40771430799512576
ank_overpass,pretrained,ank_38_22,5,59,0.733744857972061,70,0.8073896635354696,-0.07364480556340858
ank_overpass,pretrained,ank_38_24,4,29,2.500859405588149,29,3.1926147090635695,-0.6917553034754205
ank_overpass,pretrained,ank_38_27,4,57,2.49474583578974,51,2.397332126305344,0.0974137094843961
ank_overpass,pretrained,ank_38_40,2,41,3.952166200166435,34,3.908819245266571,0.043346954899864176
ank_overpass,pretrained,ank_38_9,5,80,1.321008739690373,100,1.2186124393309106,0.10239630035946234
ank_overpass,pretrained,ank_39_1,1,54,2.844913144503063,44,2.626637733916528,0.21827541058653477
ank_overpass,pretrained,ank_3_13,2,51,3.0457005288788914,42,2.7147242735002193,0.33097625537867215
ank_overpass,pretrained,ank_3_25,1,46,3.599091315797806,34,3.252194756196667,0.3468965596011393
ank_overpass,pretrained,ank_3_29,1,13,4.868167438991739,9,4.8680302001762366,0.00013723881550209427
ank_overpass,pretrained,ank_3_34,2,45,1.422717413333811,42,1.5471060039183473,-0.12438859058453633
ank_overpass,pretrained,ank_3_39,4,28,3.6148531373872936,25,3.1422514371837544,0.4726017002035392
ank_overpass,pretrained,ank_3_9,3,64,2.279212167040469,48,2.177714283839724,0.10149788320074471
ank_overpass,pretrained,ank_40_19,4,65,1.0946370944982426,70,1.1560847179588474,-0.06144762346060473
ank_overpass,pretrained,ank_40_2,2,39,3.586084583781501,26,3.4604272492813135,0.12565733450018746
ank_overpass,pretrained,ank_40_40,1,37,3.6045386835058673,34,3.4493064691247453,0.155232214381122
ank_overpass,pretrained,ank_41_0,2,42,3.031418743397567,41,2.4492768761365613,0.5821418672610057
ank_overpass,pretrained,ank_41_1,3,36,2.7683706514371886,32,1.779803058704372,0.9885675927328166
ank_overpass,pretrained,ank_41_19,2,27,2.7739541544987283,31,3.570500529080033,-0.7965463745813048
ank_overpass,pretrained,ank_41_40,1,25,2.9365622309013393,35,3.5760439883279256,-0.6394817574265863
ank_overpass,pretrained,ank_4_23,2,31,3.3570523913019397,43,3.6113127066180377,-0.25426031531609805
ank_overpass,pretrained,ank_4_41,2,28,2.7036713413583335,27,2.5273551257114004,0.17631621564693312
ank_overpass,pretrained,ank_5_12,4,83,1.08747237213519,94,1.3545000592036232,-0.26702768706843316
ank_overpass,pretrained,ank_5_40,1,13,3.9319458115624193,19,4.58020746060547,-0.6482616490430506
ank_overpass,pretrained,ank_5_5,4,88,1.4789077182164714,79,1.5058048753851876,-0.026897157168716213
ank_overpass,pretrained,ank_6_10,3,87,2.4736443495757205,87,2.504114825387608,-0.030470475811887443
ank_overpass,pretrained,ank_6_38,1,18,2.4447963040651777,20,2.649860641463357,-0.2050643373981793
ank_overpass,pretrained,ank_7_36,1,10,3.226822763776651,20,3.459929870983041,-0.23310710720638994
ank_overpass,pretrained,ank_7_8,2,73,2.1688992465273533,86,1.8945405626643987,0.2743586838629546
ank_overpass,pretrained,ank_8_19,1,32,3.19421356025365,31,4.566270168262229,-1.3720566080085792
ank_overpass,pretrained,ank_8_22,3,52,3.0436328669592365,38,2.950548725798846,0.09308414116039065
ank_overpass,pretrained,ank_8_31,2,19,2.38535466257753,32,1.9285830594844073,0.4567716030931228
ank_overpass,pretrained,ank_8_41,3,70,1.5956653318322715,74,1.7225419844617609,-0.12687665262948933
ank_overpass,pretrained,ank_9_1,3,53,2.5265289831675575,50,2.1864951826295367,0.3400338005380208
ank_overpass,pretrained,ank_9_24,2,25,3.2353673423491496,35,2.9330454702265167,0.30232187212263284
ank_overpass,pretrained,ank_9_25,1,43,3.418881790516765,43,3.0839313364050387,0.3349504541117265
ank_overpass,C1,ank_0_10,3,77,2.2030565552199177,59,2.196531368954664,0.0065251862652537795
ank_overpass,C1,ank_0_16,5,90,0.9712414896923376,92,1.1340109412578787,-0.16276945156554112
ank_overpass,C1,ank_0_30,1,37,3.271912237042996,33,3.6387236772436746,-0.3668114402006788
ank_overpass,C1,ank_0_41,2,33,0.6636302004602884,48,0.8275113212231205,-0.16388112076283212
