stem,pre_med,pre_n,C1_e1_med,C1_e1_n,C1_e2_med,C1_e2_n,C1_e5_med,C1_e5_n,C1_e10_med,C1_e10_n,C1_e20_med,C1_e20_n,C2_e1_med,C2_e1_n,C2_e2_med,C2_e2_n,C2_e5_med,C2_e5_n,C2_e10_med,C2_e10_n,C2_e20_med,C2_e20_n
ank_26_22,2.949241989452295,35,1.3031248501909334,31,0.9952138333315212,39,0.9752570617894671,60,1.6589232687374451,39,1.8048671006640489,37,0.7083870012174238,52,1.2652171252605657,75,0.9420318930636572,72,1.056170138098007,72,0.8392594316257415,60
ank_26_29,0.843267860813069,96,0.9180417061328168,140,0.7731411006337151,177,0.6811731149876036,277,0.7056033413768799,269,0.7103899709716163,266,0.5550225983589943,258,0.5380065288805582,340,0.5548334155115622,374,0.5622097954562755,372,0.5876671279014386,359
ank_26_3,1.5236503168188016,86,1.6820147069763514,91,1.3498384922764233,100,1.9868660399621336,106,1.5358581261193416,88,1.3866114865993708,72,1.338853711401696,95,1.2021276224629298,107,0.7072597153400276,101,0.7672520262219698,111,0.9629204580780959,128
ank_26_35,3.7947434073293462,37,4.440937940165735,30,4.270371398874612,28,3.555794950194471,29,2.899824781249531,29,2.986497538829277,42,3.5919097865742593,35,3.2200360608083756,49,2.8821528656112223,19,3.109878384501253,46,3.2018816668050816,34
ank_26_5,2.1644806762396795,73,1.4308519697267752,87,1.1435604208794374,100,1.0139282246533228,104,0.9053487899240571,105,1.2679324630592357,119,0.7669362012225007,122,0.6738301267174884,122,0.5908115881798456,125,0.6531882116597016,144,0.5950375362536717,130
ank_27_14,3.9589737860704632,58,2.904652211629539,42,2.951790747455195,53,3.6385190002048025,46,3.3027643965962064,42,3.184952558794532,55,3.6470757238671494,39,3.5818537036470364,57,3.256534265437131,54,2.91686328036735,45,3.4291154478350037,44
ank_27_40,3.164839753789221,38,2.914276859893602,55,2.5685103287930815,42,2.3025914329035535,51,2.060569140221313,37,2.426731249392337,45,2.683479709990971,52,2.5694820704989416,50,2.272412644772884,57,2.3472805402230077,35,2.3217661225981487,44
ank_28_27,2.8721229839741707,40,1.8137401662875363,41,1.187838560056144,52,1.2920456819566868,49,1.4185325717083859,52,1.4729611851578275,50,1.1000797594132443,55,0.7517104651488518,60,0.9319545240921585,65,0.6080163648800092,53,0.9845557307574623,60
ank_28_37,1.2579217692025366,89,0.870059780134292,113,0.726742095362522,117,0.6376338511316226,174,0.7610343509225699,172,0.6148310383329665,167,0.5574867222305343,143,0.5303161125867614,172,0.5779379768502513,205,0.546393458783087,197,0.6296833170354083,193
ank_28_38,1.5318626584435702,47,0.9841160306014284,52,1.6983197638995926,49,1.1709723014731284,53,1.4027575824221423,53,1.7402209890911102,47,2.3058565733018357,46,1.4028488031290116,55,1.2726207352390342,57,0.8621435284855319,48,1.3084428805012849,47
ank_28_9,3.1075607318622716,54,3.515170768104516,61,3.3718266533699564,51,4.067224436190952,57,2.8216193654473263,66,3.169120050745941,46,2.7828254279976763,49,3.328995054899709,52,2.8553181716246883,38,2.8225146617835684,51,3.210338767809523,61
