sitevar,arm,stem,stratum,n_mean,med_mean,n_single,med_single,improve
eu,C1,30TVK_1390_00,1,20,4.211782293725927,19,4.3054251384860756,0.09364284476014895
eu,C1,30TVK_1486_00,5,63,3.2839907847615666,81,3.094721029248058,-0.18926975551350855
eu,C1,30TVK_1697_00,1,22,3.7511634363916704,28,3.423640443702657,-0.3275229926890133
eu,C1,30TVK_2306_00,3,29,2.6031264060659387,33,3.066334884926596,0.4632084788606572
eu,C1,30TVK_2317_00,4,37,3.2614650156945912,31,3.048973369777986,-0.21249164591660508
eu,C1,30TVK_2377_00,5,69,2.5412118383069204,74,2.2936694495229166,-0.2475423887840038
eu,C1,30TVK_2512_00,1,22,3.3649319868543586,24,4.872034606906705,1.507102620052346
eu,C1,30TXP_0408_00,1,60,2.729729343530721,60,2.625027497852999,-0.104701845677722
eu,C1,30TXP_0411_00,2,59,2.9598088362740596,63,3.3198005477560035,0.359991711481944
eu,C1,30TXP_0787_00,2,64,3.142071458171994,51,2.673070610514225,-0.46900084765776917
eu,C1,30TXP_1048_00,2,48,2.613007402326762,49,2.8772614857041616,0.2642540833773994
eu,C1,30TXQ_0830_00,1,60,3.372901594162642,49,3.174724366121257,-0.1981772280413847
eu,C1,30TXQ_0896_00,2,49,4.070740459117215,48,3.2851630502819615,-0.7855774088352536
eu,C1,30TXQ_0902_00,4,74,1.7045049267601153,82,2.3383909693019653,0.63388604254185
eu,C1,30TXQ_0911_00,5,121,1.0043026229566612,117,1.006692196786709,0.0023895738300478975
eu,C1,30TXQ_0934_00,5,126,1.256768363308534,106,1.1744909118031488,-0.08227745150538524
eu,C1,30TYQ_1071_00,1,46,3.7943492596465376,44,3.262884143955023,-0.5314651156915144
eu,C1,30UYC_0046_00,5,123,0.6877922197957358,109,0.6261509666526635,-0.06164125314307234
eu,C1,30UYC_0100_00,4,58,2.0300900940654496,57,2.745020869296474,0.7149307752310246
eu,C1,30UYC_0245_00,3,51,2.2726047511395753,41,2.9156862688347287,0.6430815176951534
eu,C1,30UYC_0687_00,1,32,3.1902261190218955,53,2.9712463704090917,-0.21897974861280378
eu,C1,30UYC_0725_00,3,60,2.108091049713245,59,2.3153646387113387,0.20727358899809367
eu,C1,30UYD_0119_00,2,35,4.014006985866364,37,3.5816839528353697,-0.4323230330309942
